location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
O02,10-18-2016 11:15:21,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
P02,10-18-2016 11:15:07,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
U01,10-18-2016 11:13:55,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:06,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:04,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
R06,10-18-2016 10:58:02,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
Q06,10-18-2016 10:58:00,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
Q06,10-18-2016 10:57:58,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:56,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:54,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:52,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
P06,10-18-2016 10:57:50,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
F08,10-18-2016 10:56:08,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
F08,10-18-2016 10:56:06,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J10,10-18-2016 10:55:24,-200,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200
J10,10-18-2016 10:55:22,-200,-200,-200,-200,-75,-200,-200,-60,-200,-200,-200,-200,-200
E15,10-18-2016 10:55:12,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
E15,10-18-2016 10:55:10,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
G15,10-18-2016 10:55:08,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
G15,10-18-2016 10:55:06,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
J15,10-18-2016 10:55:04,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
J15,10-18-2016 10:55:02,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
T15,10-18-2016 10:54:42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75
T15,10-18-2016 10:54:40,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-80
J08,10-18-2016 10:53:22,-200,-82,-200,-200,-68,-200,-200,-69,-200,-200,-200,-200,-200
J08,10-18-2016 10:53:20,-200,-200,-200,-200,-74,-200,-200,-78,-200,-200,-200,-200,-200
J08,10-18-2016 10:53:18,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
K01,10-18-2016 10:52:20,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:18,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:16,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:52:14,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,10-18-2016 10:52:12,-200,-200,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
L01,10-18-2016 10:52:10,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,10-18-2016 10:52:08,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
O01,10-18-2016 10:51:12,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
O02,10-18-2016 10:51:10,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
O02,10-18-2016 10:51:08,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:42,-82,-200,-200,-200,-75,-200,-200,-66,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:40,-200,-200,-200,-200,-75,-83,-200,-66,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:38,-200,-200,-200,-200,-75,-200,-200,-61,-200,-200,-200,-200,-200
I09,10-18-2016 10:50:36,-200,-84,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200
K01,10-18-2016 10:50:22,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
K01,10-18-2016 10:50:20,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
K02,10-18-2016 10:50:18,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
D14,10-18-2016 10:45:12,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200
D14,10-18-2016 10:45:09,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200
D13,10-18-2016 10:45:06,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200
D13,10-18-2016 10:45:03,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
D13,10-18-2016 10:45:00,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200
J08,10-18-2016 10:37:12,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P15,10-18-2016 10:35:28,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200
P15,10-18-2016 10:35:26,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200
P15,10-18-2016 10:35:24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200
I15,10-4-2016 10:58:27,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
I15,10-4-2016 10:58:24,-200,-200,-200,-200,-200,-200,-200,-200,-76,-77,-200,-200,-200
I15,10-4-2016 10:58:22,-200,-200,-200,-200,-200,-200,-200,-200,-77,-74,-200,-200,-200
I15,10-4-2016 10:58:20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
I15,10-4-2016 10:58:18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
J15,10-4-2016 10:58:07,-200,-200,-200,-200,-200,-200,-200,-200,-80,-78,-200,-200,-200
J15,10-4-2016 10:58:06,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200
J15,10-4-2016 10:57:59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
J15,10-4-2016 10:57:57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200
S15,10-4-2016 10:55:02,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81
S15,10-4-2016 10:54:43,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77
S15,10-4-2016 10:54:42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77
T15,10-4-2016 10:54:17,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80
T15,10-4-2016 10:54:04,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87
T15,10-4-2016 10:53:55,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85
U15,10-4-2016 10:52:13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76
U15,10-4-2016 10:51:51,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79
U15,10-4-2016 10:51:50,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80
U15,10-4-2016 10:51:46,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78
U15,10-4-2016 10:51:21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78
V15,10-4-2016 10:50:58,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80
V15,10-4-2016 10:50:56,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76
V15,10-4-2016 10:50:45,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64
V15,10-4-2016 10:50:43,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-62
V15,10-4-2016 10:50:31,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63
V15,10-4-2016 10:50:28,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66
V15,10-4-2016 10:50:24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63
V15,10-4-2016 10:50:23,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65
S08,10-3-2016 11:53:36,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200
S08,10-3-2016 11:53:25,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200
S08,10-3-2016 11:53:23,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200
L09,9-27-2016 12:38:58,-200,-200,-200,-200,-74,-200,-200,-74,-200,-200,-200,-200,-200
L09,9-27-2016 12:38:54,-75,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200
L08,9-27-2016 12:38:46,-200,-200,-200,-200,-200,-79,-200,-76,-200,-200,-200,-200,-200
L08,9-27-2016 12:38:28,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
K02,9-21-2016 11:31:12,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,9-21-2016 11:31:08,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K01,9-21-2016 11:30:55,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
K01,9-21-2016 11:30:12,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
J08,9-21-2016 11:26:44,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
J08,9-21-2016 11:26:42,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200
D13,9-19-2016 12:04:52,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200
D13,9-19-2016 12:04:50,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
D13,9-19-2016 12:04:47,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200
D14,9-19-2016 12:04:38,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
D14,9-19-2016 12:04:17,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200
I09,9-19-2016 12:01:59,-200,-85,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200
I09,9-19-2016 12:01:58,-200,-200,-200,-200,-75,-200,-200,-60,-200,-200,-200,-200,-200
I09,9-19-2016 12:01:50,-200,-200,-200,-200,-75,-84,-200,-65,-200,-200,-200,-200,-200
I09,9-19-2016 12:01:47,-81,-200,-200,-200,-75,-200,-200,-65,-200,-200,-200,-200,-200
J08,8-4-2016 13:10:21,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
J08,8-4-2016 13:10:16,-200,-200,-200,-200,-74,-200,-200,-77,-200,-200,-200,-200,-200
J08,8-4-2016 13:10:13,-200,-83,-200,-200,-69,-200,-200,-68,-200,-200,-200,-200,-200
T15,7-21-2016 12:13:10,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-80
T15,7-21-2016 12:12:40,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75
P15,7-21-2016 12:10:44,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200
P15,7-21-2016 12:10:42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200
P15,7-21-2016 12:10:39,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200
P15,7-21-2016 12:10:37,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200
J15,7-21-2016 12:08:04,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
J15,7-21-2016 12:07:59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
G15,7-21-2016 12:07:36,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
G15,7-21-2016 12:07:34,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
E15,7-21-2016 12:07:10,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200
E15,7-21-2016 12:07:08,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
J10,7-21-2016 12:05:42,-200,-200,-200,-200,-75,-200,-200,-58,-200,-200,-200,-200,-200
J10,7-21-2016 12:05:41,-200,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-200,-200
J10,7-21-2016 12:05:38,-200,-200,-200,-200,-200,-200,-200,-54,-200,-200,-200,-200,-200
J10,7-21-2016 12:05:36,-200,-68,-200,-200,-200,-200,-200,-48,-200,-200,-200,-200,-200
F08,7-21-2016 11:59:21,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
F08,7-21-2016 11:59:18,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P06,5-25-2016 10:25:34,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
P06,5-25-2016 10:25:31,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
P06,5-25-2016 10:25:15,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
P06,5-25-2016 10:25:08,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
Q06,5-25-2016 10:24:41,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
Q06,5-25-2016 10:24:39,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
R06,5-25-2016 10:23:46,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
R06,5-25-2016 10:23:44,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
R06,5-25-2016 10:23:35,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
U01,4-20-2016 10:04:58,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
Q02,4-20-2016 9:53:57,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
Q01,4-20-2016 9:53:00,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
Q01,4-20-2016 9:52:55,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
Q01,4-20-2016 9:52:48,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
Q01,4-20-2016 9:52:45,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P02,4-20-2016 9:50:46,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P02,4-20-2016 9:50:45,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P02,4-20-2016 9:50:37,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P02,4-20-2016 9:50:34,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
P02,4-20-2016 9:50:27,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
O02,4-20-2016 9:46:38,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
O02,4-20-2016 9:46:36,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
O02,4-20-2016 9:46:28,-200,-200,-78,-200,-76,-83,-200,-200,-200,-200,-200,-200,-200
O02,4-20-2016 9:46:26,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
O02,4-20-2016 9:46:07,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
O01,4-20-2016 9:45:40,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
L01,4-19-2016 9:44:53,-200,-81,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,4-19-2016 9:44:51,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L01,4-19-2016 9:44:43,-200,-200,-85,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
K02,4-19-2016 9:43:43,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,4-19-2016 9:43:39,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K02,4-19-2016 9:41:47,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
K01,4-19-2016 9:41:02,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
